REASON,STATUS
BACKLOAD/WRONG DELIVERY,ACTIVE
CORPORATE/OUTRIGHT,ACTIVE
DEFECTIVE,ACTIVE
DEMO RECLASS,ACTIVE
DISTRIBUTION CONSIGNMENT,ACTIVE
FRANCHISE RETURN,ACTIVE
MARKETING,ACTIVE
MARKETING,ACTIVE
PRODUCT RECALL,ACTIVE
REORDER,ACTIVE
SALE EVENT,ACTIVE
TOTAL PULL-OUT,ACTIVE
